location,name,freq,weighting,n_factors,date,ret
usa,accruals,monthly,vw_cap,6,1952-06-30,0.000726062917365262
usa,accruals,monthly,vw_cap,6,1952-07-31,0.005082273075042704
usa,accruals,monthly,vw_cap,6,1952-08-31,-0.00136632578453191
usa,accruals,monthly,vw_cap,6,1952-09-30,0.00035406845821641465
usa,accruals,monthly,vw_cap,6,1952-10-31,-0.003378801622692365
usa,accruals,monthly,vw_cap,6,1952-11-30,-0.000013119098618589084
usa,accruals,monthly,vw_cap,6,1952-12-31,-0.011356552348942436
usa,accruals,monthly,vw_cap,6,1953-01-31,0.005576042449590638
usa,accruals,monthly,vw_cap,6,1953-02-28,-0.003286210366570655
usa,accruals,monthly,vw_cap,6,1953-03-31,-0.005951310932207222
usa,accruals,monthly,vw_cap,6,1953-04-30,0.0005240791873679772
usa,accruals,monthly,vw_cap,6,1953-05-31,0.007869956653963865
usa,accruals,monthly,vw_cap,6,1953-06-30,0.0048589916235159585
usa,accruals,monthly,vw_cap,6,1953-07-31,0.0024616327223617985
usa,accruals,monthly,vw_cap,6,1953-08-31,0.009541891609575403
usa,accruals,monthly,vw_cap,6,1953-09-30,0.0049634171143953555
usa,accruals,monthly,vw_cap,6,1953-10-31,-0.00557988647382326
usa,accruals,monthly,vw_cap,6,1953-11-30,-0.0027153010129367036
usa,accruals,monthly,vw_cap,6,1953-12-31,0.004821580309409771
usa,accruals,monthly,vw_cap,6,1954-01-31,-0.014503262051708392
usa,accruals,monthly,vw_cap,6,1954-02-28,0.004597462060111711
usa,accruals,monthly,vw_cap,6,1954-03-31,0.0015372350183765378
usa,accruals,monthly,vw_cap,6,1954-04-30,-0.0076824028498613224
usa,accruals,monthly,vw_cap,6,1954-05-31,-0.0020369146774497832
usa,accruals,monthly,vw_cap,6,1954-06-30,0.011108649291570063
usa,accruals,monthly,vw_cap,6,1954-07-31,0.0172418807269679
usa,accruals,monthly,vw_cap,6,1954-08-31,0.008708383551747233
usa,accruals,monthly,vw_cap,6,1954-09-30,-0.0018096855229466139
usa,accruals,monthly,vw_cap,6,1954-10-31,0.006011311665211789
usa,accruals,monthly,vw_cap,6,1954-11-30,0.006311849086779578
usa,accruals,monthly,vw_cap,6,1954-12-31,-0.006921746046089032
usa,accruals,monthly,vw_cap,6,1955-01-31,0.009086032069037082
usa,accruals,monthly,vw_cap,6,1955-02-28,0.003125383900626473
usa,accruals,monthly,vw_cap,6,1955-03-31,-0.006809898311185575
usa,accruals,monthly,vw_cap,6,1955-04-30,-0.01216946845936457
usa,accruals,monthly,vw_cap,6,1955-05-31,-0.0006233935777721142
usa,accruals,monthly,vw_cap,6,1955-06-30,-0.0035596161937618623
usa,accruals,monthly,vw_cap,6,1955-07-31,-0.0047133257746355016
usa,accruals,monthly,vw_cap,6,1955-08-31,0.005586388837198524
usa,accruals,monthly,vw_cap,6,1955-09-30,-0.006159679159116485
usa,accruals,monthly,vw_cap,6,1955-10-31,-0.001188705149633057
usa,accruals,monthly,vw_cap,6,1955-11-30,-0.009117359837562206
usa,accruals,monthly,vw_cap,6,1955-12-31,-0.00032566317613514067
usa,accruals,monthly,vw_cap,6,1956-01-31,0.008010800064375455
usa,accruals,monthly,vw_cap,6,1956-02-29,-0.0005032274447826177
usa,accruals,monthly,vw_cap,6,1956-03-31,-0.011545051682242144
usa,accruals,monthly,vw_cap,6,1956-04-30,-0.002434437600463119
usa,accruals,monthly,vw_cap,6,1956-05-31,0.0015592504105505316
usa,accruals,monthly,vw_cap,6,1956-06-30,-0.008032854384612884
usa,accruals,monthly,vw_cap,6,1956-07-31,0.00125472953346778
usa,accruals,monthly,vw_cap,6,1956-08-31,0.0025559919312038554
usa,accruals,monthly,vw_cap,6,1956-09-30,0.007845224097573789
usa,accruals,monthly,vw_cap,6,1956-10-31,-0.003472809381493072
usa,accruals,monthly,vw_cap,6,1956-11-30,0.008097620818237209
usa,accruals,monthly,vw_cap,6,1956-12-31,0.0022617976354399674
usa,accruals,monthly,vw_cap,6,1957-01-31,-0.0032569638328964596
usa,accruals,monthly,vw_cap,6,1957-02-28,0.010963645435316471
usa,accruals,monthly,vw_cap,6,1957-03-31,-0.0025414842856898126
usa,accruals,monthly,vw_cap,6,1957-04-30,0.0031552725198862688
usa,accruals,monthly,vw_cap,6,1957-05-31,-0.0011941301759981423
usa,accruals,monthly,vw_cap,6,1957-06-30,-0.0010564529534245197
usa,accruals,monthly,vw_cap,6,1957-07-31,0.013618517630979989
usa,accruals,monthly,vw_cap,6,1957-08-31,0.007999629784731527
usa,accruals,monthly,vw_cap,6,1957-09-30,0.014752883520776765
usa,accruals,monthly,vw_cap,6,1957-10-31,0.00035365815765801373
usa,accruals,monthly,vw_cap,6,1957-11-30,-0.00435016223023951
usa,accruals,monthly,vw_cap,6,1957-12-31,0.019763245648986922
usa,accruals,monthly,vw_cap,6,1958-01-31,-0.012207434060593748
usa,accruals,monthly,vw_cap,6,1958-02-28,0.01561557550830058
usa,accruals,monthly,vw_cap,6,1958-03-31,0.01492557549536853
usa,accruals,monthly,vw_cap,6,1958-04-30,0.013663695536488362
usa,accruals,monthly,vw_cap,6,1958-05-31,-0.007515286527666064
usa,accruals,monthly,vw_cap,6,1958-06-30,-0.002115761788978381
usa,accruals,monthly,vw_cap,6,1958-07-31,-0.010156895754644938
usa,accruals,monthly,vw_cap,6,1958-08-31,-0.0015309803568215295
usa,accruals,monthly,vw_cap,6,1958-09-30,-0.001197175411985348
usa,accruals,monthly,vw_cap,6,1958-10-31,-0.011536082756577803
usa,accruals,monthly,vw_cap,6,1958-11-30,0.007508544228719252
usa,accruals,monthly,vw_cap,6,1958-12-31,0.009605233218775868
usa,accruals,monthly,vw_cap,6,1959-01-31,-0.0008749271427759018
usa,accruals,monthly,vw_cap,6,1959-02-28,-0.007638872707142092
usa,accruals,monthly,vw_cap,6,1959-03-31,0.005678871184430116
usa,accruals,monthly,vw_cap,6,1959-04-30,0.013343007383389111
usa,accruals,monthly,vw_cap,6,1959-05-31,0.010488016311235367
usa,accruals,monthly,vw_cap,6,1959-06-30,-0.0072395226349903285
usa,accruals,monthly,vw_cap,6,1959-07-31,0.0014400117857655177
usa,accruals,monthly,vw_cap,6,1959-08-31,0.007662356890094233
usa,accruals,monthly,vw_cap,6,1959-09-30,0.0071831668569046535
usa,accruals,monthly,vw_cap,6,1959-10-31,0.005300869410832561
usa,accruals,monthly,vw_cap,6,1959-11-30,-0.005668570323590826
usa,accruals,monthly,vw_cap,6,1959-12-31,0.0042429083102300405
usa,accruals,monthly,vw_cap,6,1960-01-31,-0.0015908233656187914
usa,accruals,monthly,vw_cap,6,1960-02-29,0.012666232648267382
usa,accruals,monthly,vw_cap,6,1960-03-31,-0.006541211404108659
usa,accruals,monthly,vw_cap,6,1960-04-30,0.016149733515966443
usa,accruals,monthly,vw_cap,6,1960-05-31,-0.012735083997700283
usa,accruals,monthly,vw_cap,6,1960-06-30,0.011943209356441326
usa,accruals,monthly,vw_cap,6,1960-07-31,0.00998468445096716
usa,accruals,monthly,vw_cap,6,1960-08-31,0.005290737135772755
usa,accruals,monthly,vw_cap,6,1960-09-30,0.005539894785811832
usa,accruals,monthly,vw_cap,6,1960-10-31,0.011433515813779452
usa,accruals,monthly,vw_cap,6,1960-11-30,-0.009900163204118894
usa,accruals,monthly,vw_cap,6,1960-12-31,-0.0024743020493749254
usa,accruals,monthly,vw_cap,6,1961-01-31,-0.0047502949996394185
usa,accruals,monthly,vw_cap,6,1961-02-28,-0.0150775223637866
usa,accruals,monthly,vw_cap,6,1961-03-31,0.0016527922715933202
usa,accruals,monthly,vw_cap,6,1961-04-30,0.003906422695882715
usa,accruals,monthly,vw_cap,6,1961-05-31,-0.008743427365218171
usa,accruals,monthly,vw_cap,6,1961-06-30,0.01138798158722609
usa,accruals,monthly,vw_cap,6,1961-07-31,0.007887259302981143
usa,accruals,monthly,vw_cap,6,1961-08-31,-0.003897418083271213
usa,accruals,monthly,vw_cap,6,1961-09-30,0.0024757257249067425
usa,accruals,monthly,vw_cap,6,1961-10-31,0.02580016375466204
usa,accruals,monthly,vw_cap,6,1961-11-30,-0.003977074252984792
usa,accruals,monthly,vw_cap,6,1961-12-31,0.009283305111693313
usa,accruals,monthly,vw_cap,6,1962-01-31,0.01720648496441426
usa,accruals,monthly,vw_cap,6,1962-02-28,-0.005936883902235633
usa,accruals,monthly,vw_cap,6,1962-03-31,0.00535064267962274
usa,accruals,monthly,vw_cap,6,1962-04-30,0.005967345262043261
usa,accruals,monthly,vw_cap,6,1962-05-31,0.018440434550988816
