P,complexity,timing_sharpe,oos_r2_%,timing_ann_%
2,0.016666666666666666,-0.04821126309100605,-2.1225273886261498,-0.7808710693192759
3,0.025,0.31149520265769925,-0.31369552948161683,5.33824206425465
5,0.041666666666666664,0.00045687567797394004,-4.393762673080581,0.0071888875702021396
8,0.06666666666666667,0.05974125142383404,-5.060012218144738,0.8891120223261426
12,0.1,-0.2920125318036895,-11.99313868042462,-4.622069546118548
20,0.16666666666666666,0.07225683155034965,-10.219210150413316,1.188008915293386
40,0.3333333333333333,-0.13616418532246274,-20.08481596422338,-2.227039490845924
80,0.6666666666666666,0.05265083958850812,-17.546806360087984,0.8247987243680291
160,1.3333333333333333,-0.33339733718741826,-18.7550663589763,-5.4590167805891205
320,2.6666666666666665,0.1085976204256859,-6.1654984587853345,1.9441327154067423
640,5.333333333333333,0.11197528757902954,-3.98619079282867,1.6033518742989632
1280,10.666666666666666,0.09115407304712193,-3.1818214535580314,1.4189354908340075
