,ann_premium_%,sharpe_full,sharpe_since2010,tstat_full
Mkt-RF,7.167692307692308,0.46333193965809827,0.8689665862102157,3.6727155107600686
SMB,2.220954907161804,0.21223197629724205,-0.10129296082329892,1.682309386659872
HML,3.5565517241379303,0.3457159399347772,-0.0530303002593223,2.7404031240591813
RMW,3.086100795755968,0.400049932990779,0.3322823196761369,3.1710949930582446
CMA,2.9204244031830244,0.40706839272325296,0.024045187374265364,3.226728554474544
WML,7.314270557029179,0.5053189727481807,0.29440305779624243,4.005536139949876
