Date,ours,french
2006-01-31,0.0008025918885841872,0.0252
2006-02-28,0.006428713312119529,-0.0178
2006-03-31,-0.0075613494195085045,0.0126
2006-04-30,-0.0031414232732092755,0.006
2006-05-31,-0.0310319625022357,-0.0366
2006-06-30,-0.008799362615215368,0.0155
2006-07-31,-0.0032494555916769644,-0.0204
2006-08-31,-0.05598630554268717,-0.0336
2006-09-30,0.0286207106454617,-0.0098
2006-10-31,-0.015861582247715417,-0.0025
2006-11-30,0.01578912531097327,-0.0104
2006-12-31,-0.015416426213716597,0.0079
2007-01-31,-0.013644754188293686,0.0017000000000000001
2007-02-28,-0.008515450481972636,-0.0129
2007-03-31,0.0425829482036128,0.0258
2007-04-30,-0.003168366007748273,-0.0016
2007-05-31,0.0483798430222415,-0.0033
2007-06-30,0.007437432869492659,0.0052
2007-07-31,0.02905401550321947,0.028399999999999998
2007-08-31,-0.018423323860231378,-0.0003
2007-09-30,0.02256941094760514,0.0443
2007-10-31,0.04481874641598243,0.050300000000000004
2007-11-30,-0.002499949458844103,0.011200000000000002
2007-12-31,0.09910511316489012,0.06559999999999999
2008-01-31,-0.13642172803240318,-0.0774
2008-02-29,0.03924183331176541,0.0613
2008-03-31,0.07708262805982327,0.0425
2008-04-30,0.014238933510138635,-0.0033
2008-05-31,0.02989118019099469,0.0339
2008-06-30,0.05680893003242225,0.12710000000000002
2008-07-31,-0.051402182728406326,-0.050199999999999995
2008-08-31,-0.04911397360585257,-0.044800000000000006
2008-09-30,0.024707444986348838,0.0086
2008-10-31,0.058977942594775665,0.0787
2008-11-30,0.09997863538520636,0.0728
2008-12-31,-0.005188770931025397,-0.0509
2009-01-31,0.041706673959996624,-0.0236
2009-02-28,0.11105990416327911,0.0436
2009-03-31,-0.15886537654747357,-0.1183
2009-04-30,-0.25713380831628857,-0.34340000000000004
2009-05-31,-0.06382783263205001,-0.1253
2009-06-30,0.000746501364021851,0.0545
2009-07-31,-0.03677084233793705,-0.0554
2009-08-31,-0.09914395286174237,-0.091
2009-09-30,-0.05699095025086092,-0.0487
2009-10-31,0.02110337204129447,0.024900000000000002
2009-11-30,0.002291763955510076,0.0039000000000000003
2009-12-31,0.041449617518850825,0.03
2010-01-31,-0.05046162824306652,-0.0533
2010-02-28,0.030466673485961014,0.0369
2010-03-31,0.02894448053269031,0.035699999999999996
2010-04-30,0.03389361341550089,0.0316
2010-05-31,-0.024607280500293635,-0.002
2010-06-30,-0.028735899371667886,-0.027000000000000003
2010-07-31,-0.010487349596257842,0.0178
2010-08-31,-0.0010494601054836586,0.0004
2010-09-30,0.016500246161737453,0.0138
2010-10-31,0.006657565760597901,0.0146
2010-11-30,0.042354386684119574,0.0273
2010-12-31,-0.03862903772362931,-0.03
2011-01-31,0.020494721149272706,-0.003
2011-02-28,0.05476433938023774,0.018799999999999997
2011-03-31,0.03379631687747628,0.0345
2011-04-30,-0.010224984938002918,0.0005
2011-05-31,0.0035959154193892836,-0.006
2011-06-30,0.02205824837130031,0.0182
2011-07-31,-0.01829907805859099,0.002
2011-08-31,-0.007365021287574269,-0.0027
2011-09-30,0.049973122795883694,-0.024
2011-10-31,-0.07099881090895141,-0.013999999999999999
2011-11-30,0.03271523102718678,0.0388
2011-12-31,0.020764271047428236,0.0183
2012-01-31,-0.1026404041953117,-0.0801
2012-02-29,-0.01882687745642645,-0.0026
2012-03-31,-0.006805454130918112,0.0131
2012-04-30,0.03294598254386462,0.037200000000000004
2012-05-31,0.03811652119925882,0.0644
2012-06-30,-0.026887174665267733,-0.011000000000000001
2012-07-31,0.0006017753602719778,0.03
2012-08-31,-0.04327041354584112,-0.0235
2012-09-30,0.0230916257660729,-0.0113
2012-10-31,-0.01767398057329846,0.0005
2012-11-30,-0.029340889810865717,0.0053
2012-12-31,0.0035325360872053638,-0.029300000000000003
2013-01-31,0.0031076353856490865,-0.0182
2013-02-28,0.0052194626199432385,0.0123
2013-03-31,-0.0029359609168016117,0.0192
2013-04-30,0.00030086025901594066,0.0022
2013-05-31,0.03310452970671819,-0.020099999999999996
2013-06-30,-0.007408398895272868,0.0043
2013-07-31,0.021124505187211165,0.0174
