,n_periods,cagr,ann_vol,sharpe,sortino,max_drawdown,skew,psr_vs_0
gross,234.0,0.1056585835668189,0.20355923697244768,0.5977033163834382,0.5942108822353592,-0.4514257445947386,-0.30006854781883463,0.9944087454268711
net,234.0,0.0959927288884721,0.20338414711807412,0.554601441884381,0.5463948377126769,-0.46010115346000324,-0.3010795513984298,0.990908191369347
