Date,gross,net,turnover,equity_gross,equity_net
2007-01-31,0.0,0.0,0.0,1.0,1.0
2007-02-28,0.0,0.0,0.0,1.0,1.0
2007-03-31,0.0,0.0,0.0,1.0,1.0
2007-04-30,0.0,0.0,0.0,1.0,1.0
2007-05-31,0.0,0.0,0.0,1.0,1.0
2007-06-30,0.0,0.0,0.0,1.0,1.0
2007-07-31,0.0,0.0,0.0,1.0,1.0
2007-08-31,0.0,0.0,0.0,1.0,1.0
2007-09-30,0.0,0.0,0.0,1.0,1.0
2007-10-31,0.0,0.0,0.0,1.0,1.0
2007-11-30,0.0,0.0,0.0,1.0,1.0
2007-12-31,0.0,0.0,0.0,1.0,1.0
2008-01-31,0.0,0.0,0.0,1.0,1.0
2008-02-29,0.05457463594550698,0.05155513013499262,3.019505810514363,1.054574635945507,1.0515551301349926
2008-03-31,-0.023653267995180895,-0.02409371029839606,0.4404423032151633,1.0296304994605676,1.026219265466728
2008-04-30,-0.027195084797095127,-0.028091886920105284,0.8968021230101553,1.001629610718062,0.997390829906003
2008-05-31,-0.006381741693746706,-0.006447541369610451,0.06579967586374538,0.9952374692696513,0.990960111268514
2008-06-30,0.08656599039591971,0.08652209097958952,0.04389941633018757,1.0813911864761074,1.0767000521728327
2008-07-31,-0.03025191011063971,-0.030725490132072833,0.47358002143312256,1.0486770375083942,1.0436179153445941
2008-08-31,-0.025347486306577544,-0.025718117012064116,0.37063070548657073,1.0220957106601278,1.0167780276818754
2008-09-30,0.033651739762751515,0.03358188674814553,0.06985301460598609,1.0564910095278872,1.0509233522554908
2008-10-31,0.16808475835493325,0.16631163557830356,1.7731227766296884,1.2340710455685415,1.2257041338365353
2008-11-30,0.15288006587842093,0.15195973028455492,0.9203355938660154,1.4227359083137119,1.4119618034229993
2008-12-31,-0.04294624260886387,-0.04350230359864188,0.5560609897780073,1.361634746826929,1.350538212380806
2009-01-31,0.0423735260076188,0.041693838030247406,0.6796879773713985,1.4193320121844772,1.4068473338614713
2009-02-28,0.07463185351986025,0.07388875415605446,0.7430993638057946,1.5252593910138776,1.5107975306482622
2009-03-31,-0.052417724763256394,-0.052463803948956896,0.046079185700504496,1.4453087640631401,1.4315353451937636
2009-04-30,-0.10106330617559481,-0.10114614363732193,0.08283746172711896,1.2992410819223565,1.286741065546892
2009-05-31,-0.07635611504193605,-0.07669392663926201,0.3378115973259533,1.2000360804038837,1.188055840662113
2009-06-30,0.0037863266154370846,0.003341160231767506,0.4451663836695785,1.2045798089546016,1.1920253255900521
2009-07-31,-0.042620507824735955,-0.04289454708737892,0.2740392626429694,1.153240005781533,1.1408939391321815
2009-08-31,-0.006089702949381407,-0.0063701941390496885,0.2804911896682819,1.1462171167169806,1.1336262232478445
