Date,market,momentum
2019-01-04,,0.0
2019-01-11,-0.05167489932617962,0.0
2019-01-18,-0.013272174949049628,0.0
2019-01-25,-0.005135576706386244,0.0
2019-02-01,-0.0760075914623784,0.03929984732561254
2019-02-08,0.06825030503391304,0.052094227642678
2019-02-15,0.0018237223885586226,-0.04754918899356448
2019-02-22,0.10555499794850107,0.014053600146017354
2019-03-01,-0.04954313633959014,-0.010181500364393251
2019-03-08,0.004430925336675662,0.021341546171553795
2019-03-15,0.07459438901536931,-0.002200259416610342
2019-03-22,0.06436200128404361,-0.0037080597173233133
2019-03-29,0.05064851799261331,0.052206443527170056
2019-04-05,0.30335390917905997,0.016667868044806057
2019-04-12,-0.06607208491770389,-0.027802322882888753
2019-04-19,0.0418515063475541,-0.006275473870333031
2019-04-26,-0.11759328819848011,0.017967246321299903
2019-05-03,0.07642222366441678,0.028302046278223275
2019-05-10,-0.023860861990914847,0.12793000472325178
2019-05-17,0.27154242706803977,-0.09539765758558162
2019-05-24,0.06365234184637453,0.10454147573398911
2019-05-31,0.0937700174414574,-0.15011156040559334
2019-06-07,-0.045446820647248455,0.01740230331490061
2019-06-14,0.05708807181055692,0.10453628281855963
2019-06-21,0.06430217847661154,0.03277850843499831
2019-06-28,0.05529366840617395,0.16688662988187417
2019-07-05,-0.03341324691781437,-0.03973198066239856
2019-07-12,-0.07062825474092138,0.020646537115897316
2019-07-19,-0.12637670870867396,-0.045334849387350884
2019-07-26,-0.02468790846769265,-0.07476094516576154
2019-08-02,0.0013275362120033843,0.07493531865185135
2019-08-09,-0.044754253280274235,0.07170714306401536
2019-08-16,-0.08332079225353967,-0.016827695493327736
2019-08-23,0.03370920459307366,-0.04535810662078538
2019-08-30,-0.12039547538526801,-0.011301081048085485
2019-09-06,0.004316590643573398,-0.021559392285534842
2019-09-13,0.013124873800800331,-0.04439982973664495
2019-09-20,0.0974056600236729,-0.07174341229061709
2019-09-27,-0.2076804956504158,-0.05637639139650589
2019-10-04,0.021358431077526413,0.04643094124135109
2019-10-11,0.034191976082489105,0.10435160576835577
2019-10-18,-0.016773322441806356,0.01170048782517271
2019-10-25,0.0673017847055876,-0.020367135990920222
2019-11-01,0.05329177610780121,-0.0010708685134079277
2019-11-08,0.013344794416827593,-0.0567420619040688
2019-11-15,-0.0007978379950167244,0.040467011589949545
2019-11-22,-0.15978602253950513,-0.0038681511506458007
2019-11-29,0.04520088090622532,-0.024206103294613205
2019-12-06,-0.053692808072543376,-0.0004149242322231293
2019-12-13,0.0064370578126417485,0.0379802639419755
2019-12-20,-0.07972778085016627,-0.010755209101101735
2019-12-27,-0.009244617206107905,0.009692718062002798
2020-01-03,0.027350213705056574,-0.04702578413434285
2020-01-10,0.12936073431602346,-0.010959539403628742
2020-01-17,0.32376055290165057,0.37073183919312025
2020-01-24,-0.08127132209983523,-0.0856223187988868
2020-01-31,0.153873412537481,0.13433203758313345
2020-02-07,0.13313216576901726,-0.04304761806178482
2020-02-14,0.1922854510415749,0.12526910161230556
2020-02-21,-0.14053309970930816,0.042730530705062275
2020-02-28,-0.16048216720330866,0.01591937942373279
2020-03-06,0.07371549790620072,0.001757369088342385
2020-03-13,-0.42962262949407265,0.01328029334330961
2020-03-20,0.06812940950515523,-0.17788635069391404
2020-03-27,0.02651652667116832,-0.018931736776943816
2020-04-03,0.04464682219983026,-0.04017080773642213
2020-04-10,0.08293276696982502,-0.11142724193698711
2020-04-17,0.04546700678991869,0.009789503054201131
2020-04-24,0.09929083528901357,0.13043274809766647
2020-05-01,0.10840366314075864,-0.025686796369350846
2020-05-08,0.035073617615466804,0.014601891885775462
2020-05-15,-0.07934388302930721,-0.008558590308003584
2020-05-22,0.03983241576866809,-0.06624099658717918
2020-05-29,0.025561046450820864,0.014523051883631594
2020-06-05,0.08476436388421328,-0.010935016101966007
2020-06-12,-0.05048467089358503,-0.025686508248004218
2020-06-19,-0.03195528733657738,-0.00832653477412905
2020-06-26,0.005517182693772278,0.05341140046541588
2020-07-03,-0.015196187618595931,0.053151750990809335
2020-07-10,0.14816356769479452,0.02637028152045529
2020-07-17,0.02668407281952867,0.0507228471624271
2020-07-24,0.0313846769390655,-0.06947831066052225
2020-07-31,0.14426817457901825,-0.1433930169593024
2020-08-07,0.08256196836520052,0.033987920012790516
2020-08-14,0.08826410533190568,-0.07505239995172007
2020-08-21,-0.04986856709712369,-0.06464519670407128
2020-08-28,-0.01007785105258572,0.06057240356880719
2020-09-04,-0.07684304787362078,0.1317753102848489
2020-09-11,-0.006434303352716296,0.002492072653090022
2020-09-18,-0.015484237416351784,0.021664207846866623
2020-09-25,-0.04139868354704385,-0.03292118261508235
2020-10-02,-0.019574196966506835,0.023411929495729553
2020-10-09,0.05346965839340912,0.0010537414546668029
2020-10-16,0.0002229859312626939,0.019331869097801817
2020-10-23,0.07165427459004517,0.021654619506006154
2020-10-30,-0.06317413936109112,0.032782578675366054
2020-11-06,0.0752473769478891,-0.0009264478229351076
2020-11-13,0.01939858835747771,0.02086704008897749
2020-11-20,0.08587541761932035,0.051784712074748745
2020-11-27,0.15187634389571428,0.03456069905701749
2020-12-04,0.029032386183028863,-0.06318719077675544
2020-12-11,-0.05261276476322257,0.020537700866014783
2020-12-18,0.1851234561202913,-0.08718910593365105
2020-12-25,-0.06782004754203894,0.26543180675583755
2021-01-01,-0.004455550635092155,0.15711075977038194
2021-01-08,0.40261063605488157,0.06517288251671884
2021-01-15,0.07270536787385991,-0.22033111456888532
2021-01-22,-0.03771349389289794,0.07162469989916499
2021-01-29,0.30815041033278745,-0.01927838663317915
2021-02-05,0.1870807789592773,-0.03874987951910649
2021-02-12,0.3853719010932826,0.022952662188150903
2021-02-19,0.17091807893647498,-0.2725863128641369
2021-02-26,-0.2249291678105467,0.015471172144295681
2021-03-05,0.03633635537333766,-0.050786994131503935
2021-03-12,0.0725766385787916,0.034767763631281375
2021-03-19,0.05364897113931362,0.0317418526910947
2021-03-26,-0.03567446526877409,-0.03481105803272404
2021-04-02,0.19110206265942364,0.058738701883806976
2021-04-09,0.12632709424297026,0.19517408533304817
2021-04-16,0.6649101073201638,-0.7039060414698135
2021-04-23,-0.19656268914555977,-0.12102369747164697
2021-04-30,0.1817250963358408,0.047244246171563024
2021-05-07,0.3857288564782834,0.5041293522505604
2021-05-14,-0.05527860094134298,0.0130422272081995
2021-05-21,-0.38964367824556245,-0.030976654812490248
2021-05-28,-0.023969873004307883,0.024383193810091436
2021-06-04,0.045452292416857935,-0.017994095652818634
2021-06-11,-0.13730998572823633,0.013872306568051156
2021-06-18,-0.027103816177435548,-0.010862704085698102
2021-06-25,-0.19885474919967536,0.04841160740828989
2021-07-02,0.12036453766758552,-0.06076774341862409
2021-07-09,-0.034652588738662136,-0.0005584007712034472
2021-07-16,-0.12262517987886083,-0.01314034535571215
2021-07-23,0.07741669468620921,0.024404267083046265
2021-07-30,0.1764636979495966,-0.001228870688784938
2021-08-06,0.05925770510804132,-0.02586605775789911
2021-08-13,0.22904001310162975,-0.22215828024291304
2021-08-20,0.06524811601566427,-0.02390870333998796
2021-08-27,0.009636638477444982,-0.07684380829072798
2021-09-03,0.07371327401604025,-0.12344901722558956
2021-09-10,-0.14450292802386583,0.014466397059412831
2021-09-17,0.029162245261432726,0.02286714950511168
2021-09-24,-0.11647954533173166,0.01829909510843347
2021-10-01,0.06828551413306619,-0.026756709861283007
2021-10-08,0.06623614330136428,-0.012105983100102812
2021-10-15,0.025548734147571563,0.014462895089625158
2021-10-22,0.022751784992032432,-0.006568592866357174
