Date,actual,har,rw
2015-07-09,0.1051171888775655,0.11334552122464642,0.13342867268083478
2015-07-10,0.06121790297314408,0.11282836382399516,0.1051171888775655
2015-07-13,0.059516279379670904,0.10208527798986183,0.06121790297314408
2015-07-14,0.06156649308160036,0.0877058544998584,0.059516279379670904
2015-07-15,0.03615241075829979,0.08415901390131605,0.06156649308160036
2015-07-16,0.04770755638139126,0.07053782269896139,0.03615241075829979
2015-07-17,0.04785622799278661,0.0664035063051571,0.04770755638139126
2015-07-20,0.057386751216285566,0.06448295417478447,0.04785622799278661
2015-07-21,0.04102465137594057,0.0650187440381388,0.057386751216285566
2015-07-22,0.0792265355257074,0.06086784703167725,0.04102465137594057
2015-07-23,0.11281704706716075,0.07016945727913879,0.0792265355257074
2015-07-24,0.06165679122953872,0.08193334740627131,0.11281704706716075
2015-07-27,0.09514565773561155,0.07650633457889405,0.06165679122953872
2015-07-28,0.059499338936013314,0.08504142404304973,0.09514565773561155
2015-07-29,0.08234336006615209,0.08184692118787656,0.059499338936013314
2015-07-30,0.053660494855616914,0.08474479557065762,0.08234336006615209
2015-07-31,0.0936892279968886,0.07458397027840227,0.053660494855616914
2015-08-03,0.07162599994599142,0.08339201784445582,0.0936892279968886
2015-08-04,0.09025353275679998,0.07810300693176672,0.07162599994599142
2015-08-05,0.1253718050615636,0.08333965461707032,0.09025353275679998
2015-08-06,0.07583399615467985,0.09105007901868636,0.1253718050615636
2015-08-07,0.07151460369008703,0.08615849167591683,0.07583399615467985
2015-08-10,0.10994049576136232,0.08258082237008293,0.07151460369008703
2015-08-11,0.19905106299448894,0.09150800611515789,0.10994049576136232
2015-08-12,0.07783599705915364,0.11589297884605534,0.19905106299448894
2015-08-13,0.04984287474091013,0.09525777201490693,0.07783599705915364
2015-08-14,0.11141155932353589,0.08882500864634116,0.04984287474091013
2015-08-17,0.04384375603462913,0.101999517013273,0.11141155932353589
2015-08-18,0.11536736395504163,0.08648904231796173,0.04384375603462913
2015-08-19,0.10642870706607434,0.08899883579607207,0.11536736395504163
2015-08-20,0.1689296949613577,0.09123084255044711,0.10642870706607434
2015-08-21,0.44192109523817563,0.112886841288271,0.1689296949613577
2015-08-24,0.44892849295094633,0.18649275931989687,0.44192109523817563
2015-08-25,0.21982062099217342,0.23110966903251304,0.44892849295094633
2015-08-26,0.14383145396111618,0.21253110822921187,0.21982062099217342
2015-08-27,0.10251902312644458,0.2065821017079475,0.14383145396111618
2015-08-28,0.09289691784050846,0.1952275298554982,0.10251902312644458
2015-08-31,0.2632137695649033,0.1604799985623761,0.09289691784050846
